symbol,chemicalName,ionName,atomicWeight,numberOfProtons,numberOfNeutrons,numberOfElectrons,numberOfShells,charge,tier,meltingPoin,boilingPoint,stateAtRoomTemperature,hexColorCode
Dy,Dysprosium,Dysprosium,162.50,66,96,66,6,2,5,1412,2567,solid,FFFFFF
Ho,Holmium,Holmium,164.93,67,98,67,6,2,5,1470,2720,solid,FFFFFF
Er,Erbium,Erbium,167.26,68,99,68,6,2,5,1522,2510,solid,FFFFFF
Tm,Thulium,Thulium,168.93,69,100,69,6,2,5,1545,1727,solid,FFFFFF
Yb,Ytterbium,Ytterbium,173.05,70,103,70,6,2,5,819,1196,solid,FFFFFF
Lu,Lutetium,Lutetium,175.00,71,104,71,6,2,5,1663,3402,solid,FFFFFF
Hf,Hafnium,Hafnium,178.49,72,106,72,6,2,5,2233,4603,solid,FFFFFF
Ta,Tantal,Tantal,180.95,73,108,73,6,2,5,3017,5458,solid,FFFFFF
W,Wolfram,Wolfram,183.84,74,110,74,6,2,5,3422,5555,solid,FFFFFF
Re,Rhenium,Rhenium,186.21,75,111,75,6,2,5,3180,5596,solid,FFFFFF
Os,Osmium,Osmium,190.23,76,114,76,6,2,5,3045,5027,solid,FFFFFF
Ir,Iridium,Iridium,192.22,77,115,77,6,2,5,2410,4130,solid,FFFFFF
Pt,Platin,Platin,195.08,78,117,78,6,1,5,1768.3,3825,solid,FFFFFF
Au,Guld,Guld,196.97,79,118,79,6,1,5,1064,2856,solid,FFFFFF
Hg,Kviksølv,Kviksølv,200.59,80,121,80,6,2,5,-38.83,356.73,liquid,FFFFFF
Tl,Thallium,Thallium,204.38,81,123,81,6,3,5,304,1457,solid,FFFFFF
Pb,Bly,Bly,207.2,82,125,82,6,0,5,327.5,1749,solid,FFFFFF
Bi,Bismuth,bismuthid,208.98,83,126,83,6,-3,5,271.3,1564,solid,FFFFFF
Po,Polonium,polonid,209,84,125,84,6,-2,5,254,962,solid,FFFFFF
At,Astat,astatid,210,85,125,85,6,5,-1302,337,solid,FFFFFF
Rn,Radon,Radon,222,86,136,86,6,0,5,-71,-61.7,gas,FFFFFF
Fr,Francium,Francium223,87,136,87,7,1,6,27,677,solid,FFFFFF
Ra,Radium,Radium,226,88,138,88,7,2,6,700,1737,solid,FFFFFF
Ac,Actinium,Actinium,227,89,138,89,7,2,6,1050,3200,solid,FFFFFF
Th,Thorium,Thorium,232.04,90,142,90,7,2,6,1750,4790,solid,FFFFFF
Pa,Protactinium,Protactinium,231.04,91,140,91,7,2,6,1572,4000,solid,FFFFFF
U,Uranium,Uranium,238.03,92,146,92,7,2,6,1132.3,4131,solid,FFFFFF
Np,Neptunium,Neptunium,237,93,144,93,7,2,6,639.4,3902,solid,FFFFFF
Pu,Plutonium,Plutonium,244,94,150,94,7,2,6,639.5,3230,solid,FFFFFF
Am,Americium,Americium,243,95,148,95,7,2,6,994,2607,solid,FFFFFF
Cm,Curium,Curium,247,96,151,96,7,2,6,1340,3110,solid,FFFFFF
Bk,Berkelium,Berkelium,247,97,150,97,7,2,6,986,2627,solid,FFFFFF
Cf,Californium,Californium,251,98,153,98,7,2,6,900,1472,solid,FFFFFF
Es,Einsteinium,Einsteinium,252,99,153,99,7,2,6,860,996,solid,FFFFFF
Fm,Fermium,Fermium,257,100,157,100,7,2,6,unknown,unknown,unknown,FFFFFF
Md,Mendelevium,Mendelevium,258,101,157,101,7,2,6,unknown,unknown,unknown,FFFFFF
No,Nobelium,Nobelium,259,102,157,102,7,2,6,unknown,unknown,unknown,FFFFFF
Lr,Lawrencium,Lawrencium,262,103,159,103,7,3,6,unknown,unknown,unknown,FFFFFF
Rf,Rutherfordium,Rutherfordium,267,104,163,104,7,2,6,unknown,unknown,unknown,FFFFFF
Db,Dubnium,Dubnium,270,105,165,105,7,2,6,unknown,unknown,unknown,FFFFFF
Sg,Seaborgium,Seaborgium,271,106,165,106,7,2,6,unknown,unknown,unknown,FFFFFF
Bh,Bohrium,Bohrium,270,107,163,107,7,2,6,unknown,unknown,unknown,FFFFFF
Hs,Hassium,Hassium,277,108,169,108,7,2,6,unknown,unknown,unknown,FFFFFF
Mt,Meitnerium,Meitnerium,276,109,167,109,7,2,6,unknown,unknown,unknown,FFFFFF
Ds,Darmstadtium,Darmstadtium,281,110,171,110,7,1,6,unknown,unknown,unknown,FFFFFF
Rg,Roentgenium,Roentgenium,280,111,169,111,7,2,6,unknown,unknown,unknown,FFFFFF
Cn,Copernicium,Copernicium,285,112,173,112,7,2,6,unknown,unknown,unknown,FFFFFF
Nh,Nihonium,Nihonium,284,113,171,113,7,3,6,unknown,unknown,unknown,FFFFFF
Fl,Flerovium,Flerovium,289,114,175,114,7,0,6,unknown,unknown,unknown,FFFFFF
Mc,Moscovium,moscovid,288,115,173,115,7,-3,6,unknown,unknown,unknown,FFFFFF
Lv,Livermorium,livermorid,293,116,177,116,7,-2,6,unknown,unknown,unknown,FFFFFF
Ts,Tennessine,tennessid,294,117,177,117,7,-1,6,unknown,unknown,unknown,FFFFFF
Og,Oganesson,Oganesson,294,118,176,118,7,0,6,unknown,unknown,unknown,FFFFFF
